name;status;category.id;category.name;x-trace-id
Name_1;unavailable;2;Category 002;3d43ee6f-42fb-4ad2-85df-eccad9897d91
Name_2;pending;3;Category 003;c0623903-71f6-461f-8a14-930ad2134618
Name_3;available;4;Category 004;214d580e-42f7-42c3-9618-ce18ec0b3d2d
Name_4;unavailable;5;Category 005;403991a3-2c16-4d5b-86f8-c619f81cbaaf
Name_5;pending;6;Category 006;38ae80e0-dc19-465a-b934-7a4b6aab5c44
Name_6;available;7;Category 007;45661a08-676a-4cd0-8784-0b629f6ae180
Name_7;unavailable;8;Category 008;a36b0d99-74a9-4716-b1f9-97211d65ffe4
Name_8;pending;9;Category 009;2c425afe-73ad-4b1b-8816-215a6e499c03
Name_9;available;10;Category 010;031c1c01-5cbd-4800-89e3-3d63960720e0
Name_10;unavailable;1;Category 001;41d57a08-c3ea-4e90-af82-79fca7b2c99e
Name_11;pending;2;Category 002;6ea08a1f-8319-4805-aae0-4d1159f2a919
Name_12;available;3;Category 003;7604a98c-69ac-42d2-9afe-1cbfecfa6aa3
Name_13;unavailable;4;Category 004;0435f9c7-d4a9-45f7-9fd7-2ca3dddb9fcb
Name_14;pending;5;Category 005;3b7faabe-fdf4-4d5c-b1d4-d768a5b543be
Name_15;available;6;Category 006;3d145b5d-1e2d-4034-bc06-9ddfcfa9c92a
Name_16;unavailable;7;Category 007;93b23390-5a50-407b-84f1-05ba206cdf07
Name_17;pending;8;Category 008;268c47fb-e39c-47f2-b8cf-a8f8b5c912b6
Name_18;available;9;Category 009;e23ef201-c0c2-4991-bbdc-112ef2fc7cf4
Name_19;unavailable;10;Category 010;9626fa25-87a5-48bf-9339-b0a33011d76a
Name_20;pending;1;Category 001;90400b8a-7d46-4bbf-b733-ff46719a3189
Name_21;available;2;Category 002;64a72236-8fde-4bfa-b01b-d55cf73ae2b7
Name_22;unavailable;3;Category 003;48c02bcd-5604-488b-9444-e395b76662fd
Name_23;pending;4;Category 004;cb222ef8-3b30-4d3b-9740-5413607a6c19
Name_24;available;5;Category 005;314f2f8a-cac9-4c7f-8f11-8e53e352a6c8
Name_25;unavailable;6;Category 006;d46962b1-92cb-4268-9422-0b005b554cbf
Name_26;pending;7;Category 007;0ab61037-709b-452e-84c3-7b389cafc771
Name_27;available;8;Category 008;ae9b03ed-3a65-4118-8bbe-b80dcb64c994
Name_28;unavailable;9;Category 009;f2200d94-afbb-47f7-8880-f01ebfb54e48
Name_29;pending;10;Category 010;9ebf20be-fec9-46da-beb3-151e063629de
Name_30;available;1;Category 001;a36e4e67-9131-424c-830b-9a5db1af3c08
Name_31;unavailable;2;Category 002;24f0c8a4-3ce3-495e-bb55-52a1d27a5966
Name_32;pending;3;Category 003;285fd599-e7e9-463b-aec8-295133fa606d
Name_33;available;4;Category 004;77c65173-d053-48c9-bfeb-7d4dbba617f2
Name_34;unavailable;5;Category 005;b58e0d7a-1cbc-4f6e-bbb9-41245378834e
Name_35;pending;6;Category 006;37f07ac1-c186-40be-a3da-d4a86b11f314
Name_36;available;7;Category 007;df62a058-e5d1-4553-a13e-a4791c1b5049
Name_37;unavailable;8;Category 008;11926ad2-a49c-449a-a01d-2588c3fc2162
Name_38;pending;9;Category 009;4f96e7ee-ffc0-48b3-906b-8c812c3ec0c6
Name_39;available;10;Category 010;3279df08-3abc-43a9-8b2b-3350e6dc60e9
Name_40;unavailable;1;Category 001;6d884dbb-82f5-49c0-ab18-75994fc9e338
Name_41;pending;2;Category 002;33475102-08ac-4697-bd75-22037af6b662
Name_42;available;3;Category 003;cb9d1e03-6954-42f9-a552-0a2ac0892ff3
Name_43;unavailable;4;Category 004;30d71ba2-7aa0-4e49-9647-d6c7712c7b04
Name_44;pending;5;Category 005;954dc7ea-a333-4b34-8cf8-e51bb393e8a7
Name_45;available;6;Category 006;ed7789b0-12ec-4185-8961-15f18d1eaa6c
Name_46;unavailable;7;Category 007;2eb7cc2e-4aff-4510-8454-52c67dbe7510
Name_47;pending;8;Category 008;fae30715-20b7-4c4c-893a-382541ca3fb4
Name_48;available;9;Category 009;338398c6-fdd4-489d-94e0-53a23b209c5f
Name_49;unavailable;10;Category 010;567034c2-6264-4240-8173-a5c1896cdbb3
Name_50;pending;1;Category 001;10231a95-31c9-4c79-961f-4736105ee62f
Name_51;available;2;Category 002;2dedbf69-886e-4a57-b630-2fa84afd2c18
Name_52;unavailable;3;Category 003;b3caff01-f76f-4a90-8982-7804b23561f3
Name_53;pending;4;Category 004;1e000c8b-aa40-4f57-b527-10bce8a7b0f3
Name_54;available;5;Category 005;b4854010-9afa-4841-99fa-f4f4123687c7
Name_55;unavailable;6;Category 006;ea4052a2-1cd6-461c-bd23-22a821b85092
Name_56;pending;7;Category 007;24ec8e41-2801-42ff-b73d-9765d2163d8d
Name_57;available;8;Category 008;a7dc1020-dc22-480f-b6b6-7de3063a8fd8
Name_58;unavailable;9;Category 009;058b4e84-81c3-42f7-8be9-aa6709e2ecb0
Name_59;pending;10;Category 010;8c95d311-9e54-4c02-acb0-bfd59b48ca30
Name_60;available;1;Category 001;9025cff1-d081-4bdf-ae98-54b907f90279
Name_61;unavailable;2;Category 002;79849cd3-fd34-492b-a284-82409f3b5111
Name_62;pending;3;Category 003;45e432b5-6d16-4b5d-9fff-128cc5135728
Name_63;available;4;Category 004;1230c768-8a71-46b1-8d45-5b217d55d8f8
Name_64;unavailable;5;Category 005;88072637-43d8-4150-8afb-5e9b11e47b97
Name_65;pending;6;Category 006;7752b252-1e5f-4995-a385-bae8a13b8935
Name_66;available;7;Category 007;e17af676-e30c-4f9f-8d29-85b7a5e7a5bf
Name_67;unavailable;8;Category 008;f6b0f9cb-f07f-431b-9573-00ab1e3d5c12
Name_68;pending;9;Category 009;f43ed49e-0480-46be-acf8-25f32c9a902f
Name_69;available;10;Category 010;fec9f440-235b-48a3-b32f-5d3e1711e758
Name_70;unavailable;1;Category 001;5d82b98b-f023-48c9-8d16-a2cb517e11ac
Name_71;pending;2;Category 002;9dea3a61-ce21-4bad-9897-2bf17345fd8b
Name_72;available;3;Category 003;385cfec2-6b89-4d93-b0c1-51efc1cba3d0
